,regime,factor,is_mean,is_p,is_n,confirmed,oos_mean,oos_t,oos_win_rate,oos_n,oos_n_eff,fdr_pass
90,nifty_ret_5d:mkt_strong,vix_level > 14.97,-0.0696859666644147,0.012653951987446772,141,False,0.011455746966751052,0.79,0.5255905511811023,508,508.0,False
76,nifty_ret_5d:mkt_strong,ret_20d > -0.1063,-0.0673160004526623,0.0076405432811633865,144,False,-0.00124577768941591,-0.08,0.5078740157480315,508,508.0,False
91,nifty_ret_5d:mkt_strong,vix_chg_1d > 2.254,-0.06350825404920683,0.019996718548182215,141,False,0.007428939336123288,0.53,0.5185185185185185,513,513.0,False
83,nifty_ret_5d:mkt_strong,dist_prev_high <= -1.118,-0.058308940363152865,0.026008666330115837,144,False,0.014044789847510146,0.95,0.5498084291187739,522,522.0,False
84,nifty_ret_5d:mkt_strong,dist_prev_low <= 0.9249,-0.055021521989496176,0.03216569041978482,144,False,0.009832006609023475,0.68,0.5417439703153989,539,539.0,False
88,nifty_ret_5d:mkt_strong,nifty_ret_1d > 0.4484,-0.05494627708776249,0.03494754344034628,140,False,-0.011140788910128926,-0.81,0.5108877721943048,597,597.0,False
71,nifty_ret_5d:mkt_strong,gap_pct <= -0.5509,-0.05462488466293329,0.04621845848035708,144,False,0.0014584527317488105,0.1,0.5320388349514563,515,515.0,False
82,nifty_ret_5d:mkt_strong,rvol_open30 <= 0.5329,-0.053062329483822356,0.047488973989200246,144,True,-0.032799422769584245,-2.07,0.4662576687116564,489,489.0,False
85,nifty_ret_5d:mkt_strong,up_streak <= 0,-0.0529544366534273,0.05821602532471685,150,False,-0.0013668093151855084,-0.1,0.5098039215686274,561,561.0,False
72,nifty_ret_5d:mkt_strong,gap_abs > 0.9748,-0.05272151474799407,0.058757992119148075,144,False,0.007787440563548894,0.51,0.544921875,512,512.0,False
21,nifty_above_50dma:uptrend,vix_chg_1d > -0.2076,-0.052175392786743824,0.05776127468545348,147,False,0.0002441517756890592,0.02,0.5069582504970179,1006,1006.0,False
74,nifty_ret_5d:mkt_strong,ret_1d <= -0.08107,-0.051781684306852246,0.07189526754347793,144,False,0.0018680018481487604,0.13,0.512962962962963,540,540.0,False
92,nifty_ret_5d:mkt_strong,mkt_gap_median <= -0.04623,-0.04985457652578035,0.06584697375632782,145,False,0.010983083386095459,0.73,0.53125,544,544.0,False
79,nifty_ret_5d:mkt_strong,gap_vs_atr > 0.451,-0.04975816297769146,0.07736283020014584,144,False,0.004578210778040792,0.31,0.5397412199630314,541,541.0,False
77,nifty_ret_5d:mkt_strong,atr14_pct > 2.135,-0.04958968575245866,0.08363621573224875,144,False,0.009438809293906758,0.65,0.531496062992126,508,508.0,False
78,nifty_ret_5d:mkt_strong,rv20 > 24.15,-0.04888427274063831,0.07513483851807291,144,False,0.010022371437588508,0.66,0.5153374233128835,489,489.0,False
73,nifty_ret_5d:mkt_strong,gap_dir <= -1,-0.04875440700414739,0.058092409630637554,156,False,0.0035120279921918426,0.25,0.5369369369369369,555,555.0,False
80,nifty_ret_5d:mkt_strong,range_compression <= 0.9903,-0.04253918909528008,0.13802024509531124,121,False,0.008439293496232762,0.59,0.5245009074410163,551,551.0,False
87,nifty_ret_5d:mkt_strong,day_of_week <= 2,-0.04137585860313654,0.11267696024566123,168,False,0.008319379843035287,0.63,0.5195195195195195,666,666.0,False
93,nifty_ret_5d:mkt_strong,gap_idiosyncratic <= -0.2441,-0.039903102904219785,0.13605667440751423,144,False,0.0012130466511295242,0.08,0.5393700787401575,508,508.0,False
14,nifty_above_50dma:uptrend,dist_prev_low <= 0.7089,-0.03924302810192866,0.11897077876391536,149,False,0.00680920238802821,0.61,0.5240328253223916,853,853.0,False
4,nifty_above_50dma:uptrend,ret_1d > -0.145,-0.03854840938822488,0.13561357780495853,148,False,0.01986262808763383,1.92,0.543026706231454,1011,1011.0,False
18,nifty_above_50dma:uptrend,nifty_ret_1d > 0.2006,-0.03813258860606352,0.14119475307377272,147,False,0.01915636853184972,1.79,0.5257731958762887,970,970.0,False
75,nifty_ret_5d:mkt_strong,ret_5d <= -0.144,-0.038032933651545364,0.16073685317631212,144,False,0.021048268007008927,1.45,0.5445920303605313,527,527.0,False
1,nifty_above_50dma:uptrend,gap_pct <= -0.6159,-0.03787402329531859,0.1592172644519661,149,False,0.018555159750318333,1.68,0.5401891252955082,846,846.0,False
12,nifty_above_50dma:uptrend,rvol_open30 <= 0.5132,-0.03684328787779644,0.19690762998686256,149,False,-0.020882800603788117,-1.85,0.4748858447488584,876,876.0,False
15,nifty_above_50dma:uptrend,up_streak > 0,-0.03669945903713247,0.1779513757916093,138,False,0.020603527199361715,1.93,0.5470085470085471,936,936.0,False
89,nifty_ret_5d:mkt_strong,nifty_ret_5d <= 1.692,-0.03616472361864356,0.19980279713195365,144,False,-0.012427438035055395,-0.47,0.5031446540880503,159,159.0,False
41,nifty_above_50dma:downtrend,day_of_week > 2,-0.03580527257356906,0.07152678095735454,275,False,0.0016855767633179837,0.13,0.5110782865583456,677,677.0,False
81,nifty_ret_5d:mkt_strong,rvol_20d > 1.075,-0.035514712209997676,0.21839292630877763,144,False,0.017843546769167926,1.15,0.5379464285714286,448,448.0,False
86,nifty_ret_5d:mkt_strong,zscore_20d <= 0.06104,-0.035290291138310566,0.21390725840221161,144,False,0.008617763734010726,0.64,0.5412541254125413,606,606.0,False
68,nifty_ret_5d:mkt_weak,mkt_gap_median > -0.08137,-0.035080121878276825,0.1607703844913219,142,False,0.030455959731049684,2.34,0.5282131661442007,638,638.0,False
70,nifty_ret_5d:mkt_strong,(baseline),-0.03476398283821823,0.07077863429959187,288,False,0.006808791118359984,0.67,0.5252062328139322,1091,1091.0,False
