,factor,extra_lag_days,is_rank_ic,oos_rank_ic,is_p,n,confirmed,fdr_pass
12,nifty_above_50dma,3,0.04905261441872417,0.012637163201341397,0.13022581345136308,953,False,False
16,vix_level,2,-0.04729547860669574,0.0015242747931571259,0.14290140701670628,961,False,False
11,nifty_above_50dma,2,0.04481950908989907,0.00474488708224111,0.16504749959019632,961,False,False
9,nifty_ret_5d,5,0.04172325514138835,-0.025221671231610617,0.20634856203789248,919,False,False
24,vix_chg_1d,5,0.03790786725971368,-0.00818927566383946,0.247369952563409,933,False,False
26,mkt_gap_median,2,0.037607039754064354,-0.008212207670652916,0.24413521445487116,961,False,False
10,nifty_above_50dma,1,0.035489333252491734,0.010693517351740836,0.26974029258573173,969,False,False
0,nifty_ret_1d,1,-0.03350956963243841,-0.021247674346429764,0.29838674701841233,965,True,False
19,vix_level,5,0.03345753655495759,-0.018528521086316196,0.30627486051010794,937,False,False
14,nifty_above_50dma,5,0.03244125449132855,0.0077229294237043345,0.3212086916319865,937,False,False
17,vix_level,3,0.031239412686677875,-0.016512874542092344,0.33537095353128515,953,False,False
22,vix_chg_1d,3,0.03064470880302401,-0.018233954280092165,0.34567406611487117,949,False,False
25,mkt_gap_median,1,0.030157900523102358,-0.011579947494519375,0.34835760356251205,969,False,False
18,vix_level,4,0.02778324329475193,-0.015307696344129273,0.393595624076044,945,False,False
5,nifty_ret_5d,1,-0.027493741061036844,0.0026666667995848886,0.3970481367165858,951,False,False
27,mkt_gap_median,3,-0.022349853706448777,-0.009501000623205889,0.490737599366265,953,False,False
13,nifty_above_50dma,4,0.021894987773363923,0.008919613521909871,0.5014179828313937,945,False,False
7,nifty_ret_5d,3,-0.02169783578551717,0.014082791278393512,0.5075471175365831,935,False,False
15,vix_level,1,0.018660018555040573,0.014798604491388548,0.5618039681642154,969,True,False
8,nifty_ret_5d,4,0.018537005911994777,-0.020476680669158306,0.5729739020472912,927,False,False
3,nifty_ret_1d,4,-0.014953365880173689,-0.013069168424726843,0.6468653526570968,941,True,False
20,vix_chg_1d,1,-0.013667459186735209,0.01601195606536216,0.6715354718379777,965,False,False
23,vix_chg_1d,4,-0.013554453491415423,-0.0004482132866485203,0.6779522572491858,941,False,False
1,nifty_ret_1d,2,-0.012672199323302324,-0.009037481949314271,0.6954105914676413,957,True,False
28,mkt_gap_median,4,0.011359918738919091,0.02693249240913169,0.7272675184598352,945,True,False
21,vix_chg_1d,2,-0.011225236932200214,0.004719794374380753,0.7287307137566034,957,False,False
29,mkt_gap_median,5,-0.01048926010131072,0.0028327309168318863,0.7484671130480978,937,False,False
2,nifty_ret_1d,3,0.010218675208025088,0.02667132544987874,0.7532261969458984,949,True,False
4,nifty_ret_1d,5,-0.003558392642980892,-0.031172878173858422,0.9135626649592404,933,True,False
6,nifty_ret_5d,2,0.0014023089092418655,-0.005043867216687885,0.9656972019542215,943,False,False
