,regime,factor,is_mean,is_p,is_n,confirmed,oos_mean,oos_win_rate,oos_n,fdr_pass
58,nifty_ret_5d:mkt_weak,range_compression <= 0.9863,0.07549427923392599,0.007867418413180408,122,False,-0.0033175232075889484,0.48470209339774556,621,False
54,nifty_ret_5d:mkt_weak,ret_20d > -1.563,0.060098590716269606,0.03245357120047829,147,False,0.0029034703645837512,0.5063469675599436,709,False
56,nifty_ret_5d:mkt_weak,rv20 <= 23.43,0.059237993265753595,0.02508227915673453,148,False,0.027455682603924468,0.5424836601307189,612,False
62,nifty_ret_5d:mkt_weak,dist_prev_low <= 0.9625,0.05554201597974717,0.025024079728538477,174,False,0.0013814188403175375,0.5078236130867709,703,False
55,nifty_ret_5d:mkt_weak,atr14_pct <= 2.134,0.05512190060269804,0.029529392180622657,156,False,0.009611047968713935,0.5172413793103449,667,False
69,nifty_ret_5d:mkt_weak,mkt_gap_median <= -0.07145,0.05227115662792428,0.041830183976101686,177,False,-0.00949422054171981,0.4781818181818182,550,False
1,nifty_above_50dma:uptrend,gap_pct <= -0.1588,-0.05125062193932065,0.035963950422004225,184,False,0.009221672882089887,0.5177514792899408,1014,False
64,nifty_ret_5d:mkt_weak,day_of_week <= 2,0.04801973606346542,0.029809147285515643,220,False,-0.00037704064503843503,0.5108834827144686,781,False
57,nifty_ret_5d:mkt_weak,gap_vs_atr <= 0.2581,0.04740840133843662,0.07830177858955631,156,False,0.004361093529752406,0.5116279069767442,602,False
59,nifty_ret_5d:mkt_weak,rvol_20d > 0.9574,0.04404392047699569,0.11531130978601928,151,False,0.008549364297504344,0.4938837920489297,654,False
60,nifty_ret_5d:mkt_weak,rvol_open30 > 0.6103,0.04368470670510472,0.1183305212741996,151,False,0.008381762845021082,0.4931506849315068,657,False
61,nifty_ret_5d:mkt_weak,dist_prev_high <= -0.8177,0.04033106961465519,0.10382927718738864,174,False,0.006198655325931817,0.5106990014265336,701,False
66,nifty_ret_5d:mkt_weak,nifty_ret_5d > -2.307,0.03848742329287601,0.14575573899955602,172,False,0.006987273944373673,0.5153374233128835,652,False
63,nifty_ret_5d:mkt_weak,zscore_20d <= -0.5742,0.03842336550875483,0.1685056660112165,151,False,-0.020443293623812905,0.47766990291262135,515,False
76,nifty_ret_5d:mkt_strong,ret_5d > -0.1154,-0.03703256659493551,0.1419517481909781,173,False,0.013218719680821252,0.5246913580246914,648,False
3,nifty_above_50dma:uptrend,gap_dir <= -1,-0.03683847219868717,0.11652464454510318,201,False,0.010128257841452954,0.5202020202020202,1188,False
22,nifty_above_50dma:uptrend,mkt_gap_median <= -0.09934,-0.03596650895591936,0.1242602026265947,185,False,-0.0022338120528860987,0.4975124378109453,1005,False
93,nifty_ret_5d:mkt_strong,mkt_gap_median <= -0.04496,-0.03420216342936359,0.17683326254605905,175,False,0.022018505693357535,0.5485436893203883,618,False
17,nifty_above_50dma:uptrend,day_of_week > 2,-0.0326002745370364,0.26902139039878953,139,False,0.008801747727314454,0.51009564293305,941,False
72,nifty_ret_5d:mkt_strong,gap_pct <= -0.08239,-0.032399715019581506,0.1944422853837,174,False,0.02030932268511823,0.5220228384991843,613,False
50,nifty_ret_5d:mkt_weak,gap_pct <= 0.003941,0.03163424882347663,0.20445525973227668,174,False,0.007039896170624186,0.5101404056162246,641,False
9,nifty_above_50dma:uptrend,gap_vs_atr > 0.2733,-0.031543144237790664,0.15381932791935776,184,False,0.0011953359400604787,0.5147679324894515,1185,False
67,nifty_ret_5d:mkt_weak,vix_level > 15.48,0.030777233468545787,0.2064816772372554,169,False,-0.007311456292274996,0.49636363636363634,550,False
74,nifty_ret_5d:mkt_strong,gap_dir > -1,0.030703819860683972,0.2854022213525117,159,False,0.015035390025155512,0.5207373271889401,651,False
85,nifty_ret_5d:mkt_strong,dist_prev_low <= 0.7601,-0.030655105484084278,0.23296845799139787,174,False,0.028142556872431303,0.529126213592233,618,False
53,nifty_ret_5d:mkt_weak,ret_5d <= -0.3482,0.030119654232874903,0.2610539777249388,174,False,-0.013343881853881847,0.48242811501597443,626,False
51,nifty_ret_5d:mkt_weak,gap_abs <= 0.5736,0.030045568221717642,0.23443334644609515,174,False,0.006680088848654166,0.5141955835962145,634,False
29,nifty_above_50dma:downtrend,ret_5d <= -0.1398,0.029987927808484183,0.08829618911210158,401,False,-0.0022332941333580636,0.48824082784571965,1063,False
