,factor,extra_lag_days,is_rank_ic,oos_rank_ic,is_p,n,confirmed,fdr_pass
1,nifty_ret_1d,2,-0.052585624579877956,0.011467945022365327,0.07156545100431645,1175,False,False
12,nifty_above_50dma,3,-0.04532214837738771,0.012309140575006627,0.12096840493437261,1172,False,False
6,nifty_ret_5d,2,-0.04149727784677995,0.011251566261039767,0.15908556829894682,1153,False,False
11,nifty_above_50dma,2,-0.04004783642628291,0.0011897829990938642,0.16919907851366928,1180,False,False
13,nifty_above_50dma,4,-0.03955321805766975,-0.0065730535151714425,0.17748715938700557,1164,False,False
29,mkt_gap_median,5,0.038379177067029265,0.019661986853277295,0.19224697184860884,1156,True,False
20,vix_chg_1d,1,0.03469174783922804,-0.004688533353190884,0.2331389026637459,1183,False,False
26,mkt_gap_median,2,0.029792895388537525,0.009232166437850891,0.3065150356933195,1180,False,False
15,vix_level,1,0.028355467256384173,-0.010576805005047148,0.32881375073117153,1188,False,False
3,nifty_ret_1d,4,-0.026955131738291074,0.005428877407444979,0.3592268625959701,1159,False,False
14,nifty_above_50dma,5,-0.026370162014759713,-0.00810432689548417,0.3703749189496095,1156,False,False
19,vix_level,5,-0.02604746965380455,-0.013170868187446672,0.3762612819180956,1156,True,False
5,nifty_ret_5d,1,-0.022912870720255288,0.028120202089203218,0.4354014899938795,1161,False,False
9,nifty_ret_5d,5,-0.02190474356920209,-0.021583721342289853,0.4621657391622553,1129,True,False
28,mkt_gap_median,4,0.02011759450063933,-0.0003464483611683795,0.49290680795588393,1164,False,False
8,nifty_ret_5d,4,-0.019424200572651835,-0.015052688616206737,0.5129093469642279,1137,True,False
18,vix_level,4,-0.018604384514877125,-0.028987936225895492,0.5260110189690002,1164,True,False
23,vix_chg_1d,4,-0.015470635419498861,-0.023728229155088525,0.5987861739506126,1159,True,False
27,mkt_gap_median,3,0.015038212906517565,-0.014048676453301703,0.6070386230191193,1172,False,False
0,nifty_ret_1d,1,0.014272714023179712,0.0073186480532460955,0.6238418981111903,1183,True,False
17,vix_level,3,-0.01309075671555415,0.009047052643750369,0.6543724010611012,1172,False,False
4,nifty_ret_1d,5,-0.01285723443121838,-0.038660527622458904,0.6630227563188363,1151,True,False
16,vix_level,2,-0.011956575055948408,0.0040044161289311715,0.6815850060717171,1180,False,False
25,mkt_gap_median,1,0.011127522746374961,-0.002998279858132705,0.7016125353955165,1188,False,False
7,nifty_ret_5d,3,-0.003379450887279131,0.003212475636365174,0.9090564451356672,1145,False,False
10,nifty_above_50dma,1,-0.0019321679963626396,0.004722881295154554,0.9469584882139316,1188,False,False
24,vix_chg_1d,5,-0.0018698378435348703,-0.026806997432443407,0.9494734863436738,1151,True,False
2,nifty_ret_1d,3,-0.001808811226354714,0.019188363849449316,0.9507815741122053,1167,False,False
22,vix_chg_1d,3,-0.0017475995066070173,0.01506270018310087,0.952445162143361,1167,False,False
21,vix_chg_1d,2,-0.0015093305564810532,0.0014721366728418011,0.9587819144725731,1175,False,False
