,pattern,is_mean,is_win,is_p,is_n,confirmed,oos_mean,oos_t,oos_win_rate,oos_n,oos_n_eff,fdr_pass
12,last 3 outcomes = LWW,0.032427394744929935,0.5793103448275863,0.25071656363837813,145,False,0.005098143951022814,0.37,0.5,566,566.0,False
13,last 3 outcomes = WWW,-0.028361589736095368,0.5029940119760479,0.29820472564826167,167,False,-0.015606938393822122,-1.09,0.4660377358490566,530,530.0,False
6,last 3 outcomes = WWL,0.02497362030125579,0.5273972602739726,0.3824674692030666,146,False,0.013411366599774347,0.99,0.5185840707964602,565,565.0,False
11,last 3 outcomes = WLW,0.024268314651450802,0.506578947368421,0.3667347693528838,152,False,-0.01837225180863852,-1.27,0.49640287769784175,556,556.0,False
9,last 3 outcomes = LLW,-0.02279245850805427,0.4676258992805755,0.42932102358374513,139,False,0.025086306415085028,1.81,0.52994555353902,551,551.0,False
8,last 3 outcomes = LLL,-0.020324041854942562,0.463768115942029,0.48735311032200207,138,False,0.009571275622823984,0.66,0.5107632093933464,511,511.0,False
3,last 2 outcomes = WL,0.011073797017275228,0.5221843003412969,0.5610952818894215,293,False,0.002860868541891219,0.29,0.5036231884057971,1104,1104.0,False
4,last 2 outcomes = LL,-0.009720021036305374,0.501779359430605,0.6273094032572138,281,False,0.012289236715756154,1.18,0.5189035916824196,1058,1058.0,False
10,last 3 outcomes = LWL,-0.0027314696457258845,0.5170068027210885,0.9141350241305106,147,False,-0.008198558921381442,-0.56,0.48794063079777367,539,539.0,False
5,last 2 outcomes = LW,0.002672249462514588,0.4931972789115646,0.8907530235511929,294,False,0.0032588824111190896,0.32,0.5130984643179766,1107,1107.0,False
7,last 3 outcomes = WLL,0.002317062143711406,0.5428571428571428,0.9339284921063489,140,False,0.01482831919928146,1.0,0.526508226691042,547,547.0,False
2,last 2 outcomes = WW,-0.002290012559960174,0.535031847133758,0.9067804056597636,314,False,-0.0049143502485828605,-0.49,0.4835766423357664,1096,1096.0,False
0,last 1 outcomes = W,0.0008599789879202691,0.5163934426229508,0.9501331376762485,610,False,-0.0008073286624321304,-0.11,0.49841125737630504,2203,2203.0,False
1,last 1 outcomes = L,-0.00010509800777794077,0.5120689655172413,0.9938867666434573,580,False,0.00747475083974002,1.04,0.5111008325624422,2162,2162.0,False
